archivo,fecha_hora,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20
p2_fila_023.html,2025-02-06 12:15:00,1.0,3.0,5.0,7.0,11.0,23.0,26.0,29.0,36.0,42.0,43.0,48.0,60.0,61.0,65.0,72.0,73.0,78.0,88.0,90.0
p2_fila_022.html,2025-02-06 12:20:00,2.0,8.0,10.0,16.0,20.0,21.0,26.0,42.0,43.0,45.0,47.0,52.0,57.0,61.0,63.0,68.0,69.0,70.0,79.0,87.0
p2_fila_021.html,2025-02-06 12:25:00,10.0,13.0,22.0,30.0,32.0,39.0,40.0,45.0,54.0,55.0,56.0,57.0,60.0,61.0,65.0,72.0,76.0,82.0,85.0,87.0
p2_fila_020.html,2025-02-06 12:30:00,3.0,5.0,6.0,8.0,14.0,19.0,22.0,23.0,25.0,26.0,27.0,28.0,29.0,55.0,68.0,70.0,78.0,80.0,82.0,83.0
p2_fila_019.html,2025-02-06 12:35:00,3.0,4.0,6.0,10.0,11.0,13.0,23.0,25.0,27.0,28.0,32.0,35.0,40.0,46.0,56.0,65.0,67.0,73.0,79.0,80.0
p2_fila_018.html,2025-02-06 12:40:00,5.0,7.0,19.0,20.0,23.0,34.0,41.0,47.0,52.0,56.0,58.0,59.0,63.0,66.0,67.0,69.0,70.0,73.0,81.0,82.0
p2_fila_017.html,2025-02-06 12:45:00,1.0,11.0,16.0,17.0,21.0,25.0,30.0,33.0,37.0,38.0,43.0,49.0,51.0,65.0,67.0,76.0,77.0,81.0,87.0,88.0
p2_fila_016.html,2025-02-06 12:50:00,5.0,11.0,19.0,22.0,24.0,30.0,33.0,37.0,40.0,43.0,44.0,52.0,56.0,58.0,61.0,63.0,66.0,80.0,82.0,86.0
p2_fila_015.html,2025-02-06 12:55:00,9.0,10.0,17.0,19.0,34.0,41.0,42.0,43.0,49.0,53.0,55.0,57.0,60.0,63.0,66.0,70.0,72.0,77.0,81.0,85.0
p5_fila_077.html,2025-02-06 17:00:00,5.0,13.0,20.0,28.0,37.0,39.0,42.0,44.0,46.0,55.0,61.0,62.0,71.0,73.0,74.0,75.0,76.0,84.0,85.0,90.0
p5_fila_076.html,2025-02-06 17:05:00,1.0,2.0,3.0,4.0,7.0,8.0,23.0,28.0,30.0,36.0,38.0,44.0,46.0,59.0,60.0,62.0,66.0,70.0,77.0,85.0
p5_fila_075.html,2025-02-06 17:10:00,1.0,5.0,9.0,15.0,20.0,24.0,30.0,32.0,41.0,46.0,48.0,56.0,57.0,60.0,64.0,70.0,74.0,80.0,82.0,88.0
p5_fila_074.html,2025-02-06 17:15:00,1.0,2.0,3.0,5.0,6.0,14.0,18.0,21.0,22.0,24.0,27.0,38.0,41.0,45.0,47.0,51.0,53.0,61.0,82.0,85.0
p5_fila_073.html,2025-02-06 17:20:00,3.0,5.0,8.0,9.0,16.0,21.0,22.0,25.0,27.0,28.0,34.0,40.0,41.0,46.0,50.0,62.0,76.0,78.0,82.0,89.0
p5_fila_072.html,2025-02-06 17:25:00,2.0,4.0,6.0,8.0,13.0,29.0,31.0,38.0,41.0,50.0,57.0,58.0,65.0,69.0,72.0,81.0,82.0,85.0,87.0,89.0
p5_fila_071.html,2025-02-06 17:30:00,1.0,2.0,18.0,20.0,23.0,25.0,26.0,31.0,32.0,33.0,41.0,54.0,56.0,57.0,59.0,66.0,73.0,78.0,80.0,87.0
p5_fila_070.html,2025-02-06 17:35:00,3.0,4.0,5.0,7.0,10.0,14.0,18.0,25.0,32.0,42.0,46.0,52.0,58.0,60.0,62.0,66.0,70.0,79.0,80.0,88.0
p5_fila_069.html,2025-02-06 17:40:00,4.0,9.0,11.0,19.0,25.0,30.0,34.0,36.0,44.0,45.0,46.0,54.0,56.0,58.0,60.0,68.0,76.0,78.0,79.0,88.0
p5_fila_068.html,2025-02-06 17:45:00,6.0,14.0,27.0,31.0,33.0,34.0,44.0,50.0,51.0,53.0,55.0,59.0,65.0,66.0,74.0,75.0,78.0,81.0,89.0,90.0
p5_fila_067.html,2025-02-06 17:50:00,2.0,4.0,12.0,30.0,36.0,40.0,44.0,45.0,51.0,54.0,56.0,64.0,68.0,69.0,70.0,71.0,83.0,85.0,88.0,89.0
p5_fila_066.html,2025-02-06 17:55:00,1.0,5.0,9.0,29.0,33.0,38.0,43.0,45.0,47.0,51.0,54.0,56.0,59.0,60.0,69.0,75.0,78.0,80.0,81.0,90.0
p5_fila_002.html,2025-03-06 11:00:00,5.0,6.0,8.0,12.0,34.0,42.0,44.0,50.0,54.0,57.0,60.0,61.0,64.0,66.0,75.0,77.0,79.0,80.0,82.0,88.0
p5_fila_001.html,2025-03-06 11:05:00,4.0,5.0,13.0,16.0,19.0,20.0,24.0,29.0,33.0,35.0,44.0,50.0,52.0,59.0,73.0,75.0,81.0,84.0,85.0,86.0
p5_fila_000.html,2025-03-06 11:10:00,4.0,7.0,21.0,29.0,30.0,31.0,44.0,45.0,54.0,56.0,65.0,66.0,68.0,70.0,72.0,75.0,76.0,80.0,88.0,90.0
p4_fila_099.html,2025-03-06 11:15:00,3.0,11.0,14.0,17.0,18.0,20.0,21.0,23.0,24.0,31.0,43.0,46.0,48.0,61.0,62.0,67.0,73.0,74.0,80.0,87.0
p4_fila_098.html,2025-03-06 11:20:00,9.0,16.0,21.0,23.0,24.0,32.0,33.0,35.0,40.0,46.0,51.0,62.0,64.0,68.0,69.0,70.0,76.0,84.0,86.0,87.0
p4_fila_097.html,2025-03-06 11:25:00,8.0,15.0,17.0,20.0,21.0,22.0,37.0,41.0,44.0,46.0,53.0,57.0,64.0,68.0,74.0,76.0,77.0,83.0,86.0,90.0
p4_fila_096.html,2025-03-06 11:30:00,1.0,11.0,13.0,15.0,17.0,18.0,19.0,23.0,30.0,37.0,49.0,51.0,61.0,68.0,70.0,77.0,79.0,81.0,82.0,85.0
p4_fila_095.html,2025-03-06 11:35:00,5.0,14.0,19.0,20.0,21.0,24.0,26.0,28.0,29.0,37.0,41.0,45.0,46.0,54.0,59.0,63.0,68.0,77.0,78.0,84.0
